model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
PCA SVM,0.7405405405405405,0.6801282051282052,0.7571428571428571,0.8833333333333333,0.8153846153846154,0.790128205128205
PCA Logistic Regression,0.7189189189189189,0.6916666666666667,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7953846153846154
