,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
num__is_ca,0.11730205286566442,-0.08777798207958923,0.5201619714308869,-0.028008506347487482,-0.14034076185241282,-0.20399517910207396,-0.08959171624126352,-0.046386362589847414,-0.01573552847777365,-0.06100730819396335,-0.03545775703625954,-0.07830925097261363,0.10800782129740721,0.003817066924113602,0.013926961870688027,0.0025158568467319887,0.030739676360650895,0.022100507176019128,0.1512509689989396,-0.010934255944738801,0.021961760864574388,-0.0007324039613381028,0.03495602987647289,-0.022875908344441257,0.007364897984044932
num__is_ny,-0.07854267922310999,-0.1325421890711285,-0.25007885038157424,-0.0587139734109487,-0.25677265954981265,0.2587223539517152,0.11135883077803373,-0.21796943350035441,0.3174050599935867,-0.06908909253714941,0.054516658172668646,-0.11568034442313314,-0.11930249320968804,-0.029928969709970193,-0.0414435929175967,0.25577275240572483,-0.28125019366581716,-0.0723398832161551,0.3739586895219011,0.12302955368785563,-0.17894937892428417,-0.00453734490092381,-0.05528415777084696,-0.0023038926519942,0.01823129001521738
num__is_ma,0.06370268439165748,0.0755960694966893,-0.3037315487998496,-0.11316855984305951,-0.06941887343642816,-0.15870817722089664,0.28550437720571886,-0.06354902230814283,-0.29840290074196657,-0.1274340303634868,-0.17785040059729437,-0.044058314126996005,0.2987353331651261,0.13057480979558836,0.11139923047468227,-0.26207935792591747,0.09555311576949518,0.2639035934671275,-0.03416285920424247,-0.20908694284226775,0.1965490509498979,0.00675620603741591,0.12700955916982246,0.046167776406462996,-0.057603620955356254
num__is_tx,-0.008254929520978449,0.01640994317342775,0.05661047317614631,0.010663209566572282,0.4381360985761943,0.48436378365399685,0.30321351592850687,-0.06579029441538144,-0.08436128696070518,0.0815346489853355,-0.003354947564749257,0.077302378157567,0.03774551039526066,-0.010529190967304114,0.0278933949789365,-0.05023466034841767,-0.15599796374985175,0.003578314705717028,-0.2846261339378196,-0.008717695875045513,0.023271728122123258,-0.04208823327532847,-0.11441918792240477,-0.003643042891123656,0.050051213542070344
num__is_otherstate,-0.1234369762976986,0.14648287758767614,-0.2577685815767393,0.15092543925528168,0.18435256168239303,-0.0928150372410914,-0.33394781805106055,0.29480779296318765,0.029644308870560996,0.1731697984395677,0.12883513981033334,0.1711429523703892,-0.2653126193359492,-0.07030344407977096,-0.07858525027495382,0.013559139125902188,0.19034974094137544,-0.1569877751835283,-0.2931284269690683,0.06831340635053203,-0.03858506148886663,0.02234103135559546,-0.028905956340802764,-0.004412889106265046,-0.006944410077532246
num__is_software,0.013412965751672352,0.1503878471937672,-0.007071145011724027,0.06572999985116758,0.16498233054265646,-0.31629098478770173,0.35001907934560134,-0.1511707344642457,-0.14765491030384897,-0.3210905682359031,0.24036064634263138,0.3137240365722322,-0.10580797282042992,-0.2510120238370464,-0.1286079004230252,0.13334175913218135,0.06517106627599878,0.012001373850332493,0.10146685023922393,0.2757835753773005,-0.10106471429858684,-0.07366127211876976,0.13500967988640755,-0.02082771325901094,0.04712101801585864
num__is_web,-0.032102966499305274,-0.21086505235452127,-0.01715075059275034,0.1999942522102972,-0.08323839574091885,-0.04221462308889812,0.048017091584561175,-0.03739150356887426,-0.3455078614921391,0.34731518607696016,-0.1924676472477468,-0.23043209854794788,-0.28049974196669464,-0.25753686050032903,-0.3038801875252155,0.0740683385323045,-0.14576826489882194,0.10849929384623795,0.037638394335932746,-0.3120968476098595,0.054726904837888043,0.14444027715324737,-0.10859142871748301,0.03377184462083608,-0.012502726540742812
num__is_mobile,0.04957767255382893,-0.03981887121611701,-0.07784319118768881,-0.03529726927938865,0.14901704942708555,-0.0859541595975022,-0.30842109382515204,-0.4191273049758722,-0.017022505350588052,-0.12771409713817433,-0.364106663926021,0.19674219264061255,0.061833017295998924,0.33440888224479737,0.03765721410151027,-0.015074742506031334,-0.19916507122944824,-0.4480276938590485,-0.09940254816670686,-0.0880210796997824,-0.060603590145954095,0.07863347942348005,0.06686805535953502,0.014189712735415515,0.009764524336236162
num__is_enterprise,0.03458678735327533,-0.05281079868453392,-0.043821525828307124,0.008009005567453324,0.21279434927111435,0.036208201200806533,-0.06121093953573658,0.10057217223565884,-0.09654278897067373,0.2404333376422863,0.5976487895830036,-0.13076925255528932,0.2700785578821431,0.45135501788164784,0.025905438901180734,0.11105122396813712,0.023792118015265356,-0.018318833924991666,0.27057894251235876,-0.1630908403121269,-0.00732568879248927,0.033977591279412016,0.01566289888510766,-0.0408456128150685,0.06395743090490497
num__is_advertising,-0.02226037796257067,-0.08694409845974946,-0.03219635411427343,-0.012980670519744152,-0.05175445563434015,-0.12251837118258573,0.04981605601374619,0.16814560975818246,0.47652648354699334,0.1488049739371339,-0.13149638991947557,0.23418372837278892,0.5595608158892218,-0.21637809839951233,-0.10403557115918187,0.23565591868026448,-0.04276630885556524,0.09607797884489032,-0.18664769644280732,-0.10081211790554692,0.11734881225843455,-0.034582025667241445,-0.19988231626714614,-0.0451669827313403,-0.06858533398744758
